author,edition_year,name,price,publisher,ratings
陈忠实,2012-9,白鹿原,39.00元,人民文学出版社,9.2
[俄] 费奥多尔·陀思妥耶夫斯基,上海译文出版社,卡拉马佐夫兄弟,2006-8,荣如德,9.4
[意大利]伊塔洛·卡尔维诺,译林出版社,树上的男爵,2012-4-1,吴正仪,9.1
王小波,2008-5,爱你就像爱生命,18.00元,上海锦绣文章出版社,8.8
[美] 傅高义,生活·读书·新知三联书店,邓小平时代,2013-1,冯克利,9.1
[日] 黑柳彻子 著,南海出版公司,窗边的小豆豆,2003-1,赵玉皎,8.7
王国维,1998-12-01,人间词话,9.80元,上海古籍出版社,9.0
[美] 艾萨克·阿西莫夫,江苏凤凰文艺出版社,永恒的终结,2014-9-1,崔正男,9.0
杨绛,2003-7,我们仨,18.80元,生活·读书·新知三联书店,8.7
白先勇,2010-10,台北人,38.00元,广西师范大学出版社,8.9
吴念真,2011-9,这些人，那些事,28.00元,译林出版社,8.8
[英] 肯·福莱特,江苏凤凰文艺出版社,巨人的陨落,2016-5-1,于大卫,8.9
孔丘 编订,2006-7,诗经,19.90元,北京出版社,9.4
吴承恩,人民文学出版社,西游记（全二册）,2004-8,黄肃秋 注释,8.9
